climat Bouchagroun,,,,,,,,,,,,,,
T2M_MAX,2012,21.04,21.09,28.37,33.77,40.45,45.16,48.45,46.99,42.58,37.76,32.01,22.3,48.45
T2M_MAX,2013,24.01,23.9,30.42,35.41,37.59,41.43,45.21,41.86,40.72,38.29,30.75,19.07,45.21
T2M_MAX,2014,21.94,25.97,26.32,34.08,41.35,44.16,47.23,45.39,42.75,36.91,26.98,21.5,47.23
T2M_MAX,2015,24.5,20.19,29.51,36.62,42.58,41.26,46.06,47.19,41.95,38.88,27.69,21.13,47.19
T2M_MAX,2016,25.36,27.14,31.98,35.84,46.25,46.05,45.45,44.41,40.57,36.96,29.43,21.55,46.25
T2M_MAX,2017,19.05,25.49,31.76,36.05,39.27,45.73,48.33,46.9,41.66,32.12,31.24,21.23,48.33
T2M_MAX,2018,25.13,28.05,32.57,34.19,38.23,46.54,47.5,43.41,43.36,32,25.25,23.63,47.5
T2M_MAX,2019,19.66,23.81,28.76,32.95,36.94,45.72,49.7,47.8,41.22,34.9,28.42,23.93,49.7
T2M_MAX,2020,22.12,29.44,29.12,33.69,40.1,43.47,47.38,48.19,40.19,37.08,29.15,23.58,48.19
T2M_MAX,2021,26.47,27.19,27.67,38.73,42.35,47.98,50.85,49.06,42.05,34.68,32.45,24.54,50.85
T2M_MAX,2022,21.82,25.16,26.73,33.23,42.18,48.14,49.35,47.4,45.88,34.76,29.15,28.22,49.35
T2M_MIN,1981,-0.29,0.96,4.95,8.18,11.09,19.35,19.97,19.1,13.51,9.24,6.81,2.11,-0.29
T2M_MIN,1982,1.82,3.42,2.3,7.64,8.81,19.3,24.62,22.49,19.07,10.43,4.26,1.8,1.8
T2M_MIN,1983,1.1,-0.2,3.76,7.52,11.83,17.37,23.62,22.98,17.73,13.3,9.37,1.71,-0.2
T2M_MIN,1984,1.58,1.86,3.48,9.33,12.49,14.74,21.69,23.42,15.8,12.62,7.6,4.08,1.58
T2M_MIN,1985,-0.08,4.12,4.44,8.4,9.71,21.5,23.45,20.98,18.39,13.01,4.67,4.42,-0.08
T2M_MIN,1986,1.85,-0.07,4.12,7.85,11.15,16.96,18.65,23.68,20.1,10.4,7.64,2.08,-0.07
T2M_MIN,1987,0.01,2.65,4.11,7.25,10.57,18.34,23.12,26.01,21.74,13.32,4.47,4.58,0.01
T2M_MIN,1988,4.37,3.26,4.21,8.72,13.23,18.37,25.3,23.05,15.42,12.61,4.88,2.57,2.57
T2M_MIN,1989,2.5,2.69,7.32,7.43,8.37,12.86,23.16,25.01,18.89,13.01,8.28,6.19,2.5
T2M_MIN,1990,3.98,3.58,7.58,8.05,12.71,16.31,22.25,23.37,19.61,15.1,4.11,2.61,2.61
T2M_MIN,1991,1.46,1.54,6.31,6.41,8.12,18.69,20.32,22.55,18.12,8.84,4.58,1.51,1.46
T2M_MIN,1992,1.38,3.44,3.92,6.33,9.71,14.54,20.05,22.57,19.83,11.7,7.46,3.43,1.38
T2M_MIN,1993,2.01,2.82,0.72,6.61,11.36,22.69,23.37,23.43,14.4,11.56,5.91,4.08,0.72
T2M_MIN,1994,2.77,0.15,6.96,6.3,12.59,19.08,23.75,25.48,17.34,11.03,8.26,2.48,0.15
T2M_MIN,1995,-0.28,4.22,3.69,3.94,12.07,16.05,23.64,22.03,15.11,13.25,7,5.61,-0.28
T2M_MIN,1996,2.57,-0.38,2.93,6.96,11.76,16.33,20.24,21.08,13.94,11.56,4.93,0.74,-0.38
T2M_MIN,1997,2.68,3.94,5.72,6.87,10.82,20.35,22.48,24.51,16.7,8.85,5.89,3.02,2.68
T2M_MIN,1998,0.96,3.18,3.88,9.62,9.46,16.44,22.68,22.4,20.5,11.25,3.04,2.32,0.96
T2M_MIN,1999,0.74,-0.42,4.73,7.47,13.48,21.08,22.6,25.19,20.23,14.96,1.35,1.37,-0.42
T2M_MIN,2000,1.17,2.69,2.3,8.81,13.84,16.23,23.69,23.58,16.98,10.61,5.75,3.3,1.17
T2M_MIN,2001,0.12,1.59,2.56,7.63,11.55,19.46,22.61,23.38,19.5,15.44,6.81,-0.16,-0.16
T2M_MIN,2002,-0.17,3.9,7.22,8.67,13.18,16.23,20.92,19.87,14.35,12.69,6.26,4.41,-0.17
T2M_MIN,2003,-0.8,0.44,3.42,8.4,14.6,20.57,25.62,22.92,17.26,11.87,6.42,-0.18,-0.8
T2M_MIN,2004,2.07,2.34,3.27,8.29,10.83,15.48,22.25,24.15,14.67,14.46,5.71,-0.65,-0.65
T2M_MIN,2005,-3.6,0.01,1.4,5.34,11.29,16.17,24.7,20.85,18.54,14.9,2.54,1.88,-3.6
T2M_MIN,2006,0.2,1.74,3.48,10.73,14.62,11.45,25.1,20.73,15.33,15.53,8.44,3.52,0.2
T2M_MIN,2007,3.06,5.34,1.25,7.55,12.19,15.18,22.94,23,17.77,9.98,3.94,1.15,1.15
T2M_MIN,2008,2.22,2.41,1.48,6.36,13.55,16.96,25.28,24.16,17,9.62,3.44,0.34,0.34
T2M_MIN,2009,2.87,1.01,2.03,5.71,10.56,20.04,25.05,24.43,16.98,11.53,5.62,2.15,1.01
T2M_MIN,2010,-0.05,1.18,4.98,9.98,10.16,19.39,23.62,25.39,17.23,9.22,5.16,-0.07,-0.07
T2M_MIN,2011,0.96,2.23,3.91,9.68,14.32,17.3,23.83,24.52,19.85,12.88,7.03,2.72,0.96
T2M_MIN,2012,2.3,-0.54,4.14,5.94,12.83,22.31,20.33,25.29,16.8,7.96,2.92,2.73,-0.54
T2M_MIN,2013,0.8,0.53,4.6,7.03,13.59,15.34,22.25,21.85,18.42,15.04,3.98,3.1,0.53
T2M_MIN,2014,1.89,2.65,5.37,8.87,12.28,16.04,23.53,24.98,20.29,13.05,8.41,2.48,1.89
T2M_MIN,2015,1.51,0.51,4.3,6.94,12.45,19.85,22.57,24.69,17.2,12.52,5.56,4.61,0.51
T2M_MIN,2016,2.48,3.08,3.55,9.94,9.87,18.07,21.99,23.58,17.33,14.1,7.46,4.4,2.48
T2M_MIN,2017,0.4,1.98,6.48,9.04,16.99,17.5,21.45,24.83,17.15,12.4,5.07,0.88,0.4
T2M_MIN,2018,2.13,0.82,2.98,6.54,8.98,17.77,26.16,23.16,16.15,6.31,5.34,3.76,0.82
T2M_MIN,2019,1.47,3.15,6.23,6.83,11.87,16.61,24.52,23.92,21.25,13.72,4.59,4.1,1.47
T2M_MIN,2020,3.19,3.91,3.35,9.31,15.83,19.29,21.33,25.18,17.39,10.8,6.91,-1.02,-1.02
T2M_MIN,2021,-1.39,2.92,5.42,8.72,13.15,22.57,25.62,26.22,22.29,13.45,4.47,2.79,-1.39
T2M_MIN,2022,1.52,3.33,3.93,6.97,11.55,19.91,25.48,26.12,16.53,14.26,6.97,6.23,1.52
WS10M_MAX,1981,12.05,12.55,12.63,12.31,12.35,10.1,9.02,13.1,10.53,10.07,9.2,11.17,13.1
WS10M_MAX,1982,10.72,13.13,13.34,11.8,8.59,12.61,8.34,9.73,12.28,12.61,11.6,11.71,13.34
WS10M_MAX,1983,8.38,10.43,14.53,13.31,15.47,11.52,11.84,10.11,9.73,10.47,10.96,11.09,15.47
WS10M_MAX,1984,12.95,16.8,10.81,11.81,16.35,9.81,7.78,9.97,12.8,12.16,10.23,13.93,16.8
WS10M_MAX,1985,13.22,12.15,14.92,13.3,13.2,10.62,8.15,12.63,8.34,7.05,11.8,7.63,14.92
WS10M_MAX,1986,11.12,13.59,11.45,11.84,8.95,9.24,10.27,8.66,9.56,9.2,10.91,11.55,13.59
WS10M_MAX,1987,14.24,14.48,13.27,11.12,10.67,14.3,10.23,8.86,13,12.19,10.3,9,14.48
WS10M_MAX,1988,13.27,12.88,12.3,10.05,14.93,14.55,10.45,11.21,9.43,10.02,7.53,12.02,14.93
WS10M_MAX,1989,9.67,15.44,11.81,16.09,11.93,13.42,13.27,9.81,12.56,8.96,9.73,8.35,16.09
WS10M_MAX,1990,10.1,11.62,9.2,13.58,12.16,11.67,10.12,8,10.72,9.06,12.84,12.72,13.58
WS10M_MAX,1991,11.5,13.34,15.25,13.09,13.41,10.58,11.63,10.45,9.33,12.47,9.27,12.52,15.25
WS10M_MAX,1992,7.41,10.73,13.67,12.78,15.48,14.25,9.9,8.56,8.67,14.44,10.62,10.7,15.48
WS10M_MAX,1993,8.3,12.53,13.62,15.06,12.99,10.98,9.85,8.37,13.52,11.16,11.63,10.16,15.06
WS10M_MAX,1994,12.38,12.53,8.44,14.62,15.06,9.24,8.52,9.19,9.42,9.78,8.17,11.23,15.06
WS10M_MAX,1995,10.54,10.88,14.02,11.99,12.17,10.53,10.2,10.81,12.47,6.61,10.95,7.47,14.02
WS10M_MAX,1996,13.62,17.09,13.63,12.95,12.32,10.41,12.29,9.49,12.3,10.56,9.12,10.52,17.09
WS10M_MAX,1997,10.02,10.73,8.64,15.09,10.97,12.8,10.94,9.27,9.61,10.4,13.23,10.71,15.09
WS10M_MAX,1998,10.38,10.25,12.61,14.02,12.98,8.41,9.66,10.65,10.42,13.93,11.89,12.65,14.02
WS10M_MAX,1999,10.65,12.8,10.28,12.95,11.44,9.16,9.65,8.62,10.98,9.07,11.89,9.62,12.95
WS10M_MAX,2000,7.14,11.03,10.76,18.99,9.94,11.01,9.55,8.38,13.19,15.16,11.58,14.41,18.99
WS10M_MAX,2001,13.2,10.82,12.17,12.16,11.76,11.18,12.87,9.17,10.62,10.86,9.74,11.74,13.2
WS10M_MAX,2002,9.77,10.41,11.29,14.01,13.48,13.04,12.79,9.19,10.7,9.91,14.85,12.89,14.85
WS10M_MAX,2003,13.42,13.7,9,16.55,12.26,7.96,9.62,9.76,10.09,8.98,10.24,16.88,16.88
WS10M_MAX,2004,14.8,8.22,12.23,10.89,13.95,9.45,8.27,10.07,10.6,8.74,13.91,13.02,14.8
WS10M_MAX,2005,13.12,15.78,10.2,14.64,11.45,9.24,10.94,8.43,7.95,8.63,8.91,11.74,15.78
WS10M_MAX,2006,9.22,14.83,13.57,12.59,11.61,11.66,15.39,11.03,9.94,9.11,9.12,11.57,15.39
WS10M_MAX,2007,6.76,15.12,13.7,14.43,12.78,11.89,7.83,9.4,8.53,11.38,8.76,9.65,15.12
WS10M_MAX,2008,9.29,8.22,16.12,14.99,15.33,11.32,9.68,11.38,11.33,12.57,10.81,13.52,16.12
WS10M_MAX,2009,12.88,12.26,14.53,14.94,13.19,12.97,13.58,12.03,9.99,9.7,10.07,14.37,14.94
WS10M_MAX,2010,15.69,10.02,13.68,10.93,13.85,13.69,12.15,9.15,10.95,10.8,10.62,11.22,15.69
WS10M_MAX,2011,10.72,13.6,12.24,10.96,12.27,11.05,11.48,12.5,9.65,9.55,14.14,11,14.14
WS10M_MAX,2012,14.84,13.5,11.14,10.65,14.87,10.88,8.59,10.38,12.06,11.33,11.34,9.06,14.87
WS10M_MAX,2013,15.66,12.84,13.43,15.61,15.2,10.42,10.16,12.39,9.48,6.44,11.07,9.88,15.66
WS10M_MAX,2014,10.5,13.61,13.55,13.18,9.7,12.06,9.99,8.86,10.12,14.88,10.73,14.02,14.88
WS10M_MAX,2015,12.36,13.3,12.58,12.98,13.47,10.13,8.14,11.74,8.97,9.77,11.86,4.85,13.47
WS10M_MAX,2016,12.59,11.45,13.48,13.88,13.7,10.88,9.75,12.64,9.62,9.74,12.05,8.52,13.88
WS10M_MAX,2017,11.09,11.95,11.77,11.84,9.95,12.16,10.38,11.09,13.57,8.02,13.91,8.89,13.91
WS10M_MAX,2018,10.7,10.37,14.59,12.92,15.62,10.02,9.56,10.04,8.43,12.86,11.87,12.5,15.62
WS10M_MAX,2019,15.45,12.58,11.71,14.88,11.45,13.59,10.77,8.17,12.18,12.3,14.34,11.32,15.45
WS10M_MAX,2020,10.52,8.31,12.67,13.05,13.9,14.49,9.68,10.88,13.8,10.8,10.75,10.98,14.49
WS10M_MAX,2021,10.31,12.16,10.68,13.52,13.15,11.51,9.32,10.66,10.45,8.93,11.38,11.2,13.52
WS10M_MAX,2022,14.68,10.56,13.14,12.88,13.49,10.53,9.6,12.44,10.5,8.65,11.81,8.48,14.68
WS10M_MIN,1981,0.19,0.21,0.08,0.17,0.4,0.17,0.16,0.09,0.12,0.07,0.05,0.11,0.05
WS10M_MIN,1982,0.16,0.13,0.1,0.16,0.17,0.17,0.14,0.09,0.03,0.25,0.34,0.16,0.03
WS10M_MIN,1983,0.07,0.29,0.17,0.34,0.32,0.04,0.16,0.05,0.17,0.09,0.04,0.41,0.04
WS10M_MIN,1984,0.09,0.08,0.12,0.19,0.49,0.16,0.18,0.18,0.05,0.02,0.15,0.37,0.02
WS10M_MIN,1985,0.14,0.23,0.05,0.07,0.32,0.2,0.12,0.12,0.02,0.12,0.27,0.24,0.02
WS10M_MIN,1986,0.16,0.15,0.05,0.27,0.34,0.19,0.1,0.27,0.11,0.2,0.01,0.09,0.01
WS10M_MIN,1987,0.27,0.12,0.14,0.14,0.32,0.3,0.05,0.22,0.26,0.27,0.12,0.05,0.05
WS10M_MIN,1988,0.28,0.21,0.13,0.23,0.17,0.31,0.16,0.15,0.03,0.05,0.05,0.33,0.03
WS10M_MIN,1989,0.17,0.08,0.16,0.43,0.2,0.16,0.11,0.18,0.25,0.12,0.09,0.22,0.08
WS10M_MIN,1990,0.12,0.13,0.23,0.2,0.22,0.46,0.05,0.16,0.16,0.15,0.2,0.12,0.05
WS10M_MIN,1991,0.08,0.36,0.11,0.16,0.17,0.19,0.08,0.05,0.13,0.15,0.05,0.1,0.05
WS10M_MIN,1992,0.09,0.05,0.27,0.31,0.12,0.21,0.11,0.18,0.01,0.23,0.19,0.15,0.01
WS10M_MIN,1993,0.05,0.15,0.09,0.49,0.3,0.21,0.14,0.03,0.25,0.2,0.09,0.23,0.03
WS10M_MIN,1994,0.12,0.13,0.07,0.29,0.19,0.04,0.07,0.02,0.16,0.15,0.1,0.22,0.02
WS10M_MIN,1995,0.27,0.34,0.14,0.2,0.2,0.16,0.23,0.33,0.25,0.05,0.12,0.05,0.05
WS10M_MIN,1996,0.13,0.17,0.17,0.23,0.18,0.17,0.09,0.18,0.21,0.14,0.29,0.18,0.09
WS10M_MIN,1997,0.15,0.09,0.04,0.13,0.12,0.23,0.25,0.15,0.11,0.11,0.05,0.12,0.04
WS10M_MIN,1998,0.12,0.11,0.12,0.32,0.28,0.04,0.08,0.12,0.17,0.16,0.24,0.11,0.04
WS10M_MIN,1999,0.3,0.45,0.07,0.06,0.1,0.16,0.12,0.21,0.26,0.09,0.06,0.16,0.06
WS10M_MIN,2000,0.08,0.09,0.12,0.1,0.36,0.28,0.02,0.2,0.06,0.03,0.12,0.15,0.02
WS10M_MIN,2001,0.24,0.26,0.09,0.18,0.11,0.05,0.02,0.06,0.23,0.06,0.12,0.02,0.02
WS10M_MIN,2002,0.07,0.19,0.32,0.21,0.27,0.24,0.12,0.08,0.03,0.04,0.12,0.28,0.03
WS10M_MIN,2003,0.16,0.12,0.06,0.16,0.14,0.14,0.06,0.16,0.05,0.08,0.43,0.12,0.05
WS10M_MIN,2004,0.05,0.12,0.29,0.27,0.08,0.05,0.15,0.23,0.21,0.04,0.26,0.08,0.04
WS10M_MIN,2005,0.12,0.43,0.27,0.26,0.12,0.13,0.17,0.04,0.09,0.23,0.11,0.07,0.04
WS10M_MIN,2006,0.2,0.2,0.38,0.09,0.14,0.12,0.18,0.09,0.18,0.16,0.07,0.22,0.07
WS10M_MIN,2007,0.26,0.16,0.09,0.09,0.23,0.02,0.11,0.2,0.13,0.28,0.09,0.11,0.02
WS10M_MIN,2008,0.13,0.12,0.07,0.09,0.05,0.25,0.08,0.48,0.41,0.2,0.2,0.09,0.05
WS10M_MIN,2009,0.04,0.12,0.12,0.2,0.28,0.17,0.15,0.2,0.17,0.12,0.1,0.2,0.04
WS10M_MIN,2010,0.16,0.12,0.27,0.09,0.16,0.31,0.1,0.21,0.13,0.27,0.21,0.12,0.09
WS10M_MIN,2011,0.13,0.32,0.27,0.06,0.17,0.16,0.21,0.13,0.02,0.23,0.2,0.2,0.02
WS10M_MIN,2012,0.06,0.3,0.23,0.26,0.13,0.1,0.2,0.05,0.33,0.21,0.09,0.13,0.05
WS10M_MIN,2013,0.17,0.41,0.2,0.12,0.2,0.34,0.49,0.03,0.31,0.16,0.13,0.12,0.03
WS10M_MIN,2014,0.1,0.15,0.14,0.2,0.14,0.11,0.12,0.13,0.18,0.06,0.4,0.26,0.06
WS10M_MIN,2015,0.1,0.2,0.19,0.13,0.27,0.22,0.13,0.15,0.09,0.21,0.09,0.16,0.09
WS10M_MIN,2016,0.09,0.05,0.1,0.07,0.2,0.09,0.09,0.09,0.11,0.15,0.2,0.12,0.05
WS10M_MIN,2017,0.3,0.1,0.41,0.04,0.31,0.23,0.05,0.15,0.26,0.12,0.11,0.19,0.04
WS10M_MIN,2018,0.2,0.09,0.12,0.31,0.56,0.17,0.12,0.04,0.12,0.29,0.23,0.09,0.04
WS10M_MIN,2019,0.21,0.06,0.14,0.1,0.12,0.38,0.24,0.02,0.16,0.11,0.09,0.14,0.02
WS10M_MIN,2020,0.09,0.11,0.4,0.27,0.13,0.23,0.1,0.06,0.15,0.12,0.13,0.18,0.06
WS10M_MIN,2021,0.27,0.13,0.25,0.18,0.22,0.23,0.23,0.18,0.16,0.12,0.12,0.16,0.12
WS10M_MIN,2022,0.2,0.19,0.09,0.27,0.27,0.04,0.18,0.08,0.27,0.07,0.21,0.12,0.04
PRECTOTCORR,1981,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1982,0,0,0,5.27,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1983,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1984,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1985,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1987,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1988,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1990,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1991,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1992,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1993,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1994,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1995,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1996,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1997,0,0,0,0,0,0,0,0,5.27,0,0,0,0
PRECTOTCORR,1998,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,1999,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2003,5.27,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2004,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2005,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2006,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2007,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2008,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2009,5.27,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2010,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2014,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2015,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2016,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2017,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2018,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
PRECTOTCORR,2021,0,0,0,0.13,0.89,0.09,0.01,0.08,0.23,0.22,0.65,0.05,0.2
PRECTOTCORR,2022,0,0.52,0.49,0.37,0.13,0.02,0.02,0.03,0.4,0.29,0.02,0.25,0.21
ALLSKY_SRF_ALB,1981,,,,,,,,,,,,,
ALLSKY_SRF_ALB,1982,,,,,,,,,,,,,
ALLSKY_SRF_ALB,1983,,,,,,,,,,,,,
ALLSKY_SRF_ALB,1984,0.31,0.28,0.3,0.33,0.33,0.31,0.34,0.33,0.32,0.3,0.27,0.26,0.3
ALLSKY_SRF_ALB,1985,0.27,0.33,0.3,0.34,0.3,0.32,0.29,0.34,0.3,0.29,0.27,0.27,0.3
ALLSKY_SRF_ALB,1986,0.29,0.29,0.3,0.34,0.32,0.32,0.34,0.34,0.31,0.27,0.24,0.27,0.3
ALLSKY_SRF_ALB,1987,0.3,0.3,0.3,0.34,0.32,0.31,0.33,0.34,0.3,0.29,0.27,0.24,0.3
ALLSKY_SRF_ALB,1988,0.27,0.32,0.31,0.31,0.3,0.29,0.31,0.3,0.34,0.27,0.29,0.27,0.3
ALLSKY_SRF_ALB,1989,0.27,0.28,0.3,0.34,0.32,0.23,0.3,0.3,0.27,0.26,0.22,0.22,0.27
ALLSKY_SRF_ALB,1990,0.22,0.3,0.29,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.24,0.21,0.27
ALLSKY_SRF_ALB,1991,0.23,0.26,0.27,0.29,0.28,0.27,0.27,0.3,0.27,0.25,0.25,0.22,0.27
ALLSKY_SRF_ALB,1992,0.22,0.27,0.27,0.29,0.3,0.34,0.3,0.3,0.27,0.28,0.24,0.23,0.27
ALLSKY_SRF_ALB,1993,0.25,0.27,0.27,0.31,0.28,0.29,0.29,0.29,0.3,0.27,0.24,0.22,0.27
ALLSKY_SRF_ALB,1994,0.24,0.27,0.26,0.29,0.27,0.27,0.28,0.3,0.25,0.23,0.27,0.24,0.27
ALLSKY_SRF_ALB,1995,0.25,0.29,0.28,0.33,0.31,0.3,0.3,0.31,0.27,0.27,0.25,0.21,0.28
ALLSKY_SRF_ALB,1996,0.19,0.27,0.25,0.29,0.3,0.28,0.27,0.29,0.27,0.27,0.27,0.25,0.27
ALLSKY_SRF_ALB,1997,0.22,0.26,0.26,0.28,0.29,0.3,0.31,0.3,0.27,0.27,0.23,0.23,0.27
ALLSKY_SRF_ALB,1998,0.24,0.23,0.23,0.27,0.11,0.29,0.31,0.3,0.27,0.29,0.26,0.27,0.26
ALLSKY_SRF_ALB,1999,0.2,0.23,0.26,0.29,0.28,0.27,0.27,0.29,0.27,0.28,0.25,0.21,0.26
ALLSKY_SRF_ALB,2000,0.22,0.26,0.24,0.3,0.28,0.31,0.27,0.31,0.32,0.29,0.27,0.24,0.27
ALLSKY_SRF_ALB,2001,0.34,0.34,0.35,0.37,0.34,0.36,0.34,0.34,0.33,0.33,0.31,0.31,0.34
ALLSKY_SRF_ALB,2002,0.32,0.34,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.34,0.33,0.34,0.34
ALLSKY_SRF_ALB,2003,0.32,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.35,0.32,0.32,0.31,0.34
ALLSKY_SRF_ALB,2004,0.33,0.32,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.29,0.33
ALLSKY_SRF_ALB,2005,0.34,0.33,0.32,0.34,0.33,0.34,0.33,0.33,0.33,0.32,0.31,0.3,0.33
ALLSKY_SRF_ALB,2006,0.3,0.32,0.35,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.31,0.28,0.33
ALLSKY_SRF_ALB,2007,0.31,0.31,0.33,0.32,0.34,0.34,0.34,0.34,0.32,0.33,0.34,0.32,0.33
ALLSKY_SRF_ALB,2008,0.34,0.33,0.35,0.36,0.34,0.35,0.34,0.34,0.34,0.31,0.33,0.3,0.34
ALLSKY_SRF_ALB,2009,0.29,0.32,0.31,0.31,0.31,0.34,0.32,0.32,0.3,0.33,0.31,0.3,0.31
ALLSKY_SRF_ALB,2010,0.3,0.3,0.31,0.33,0.33,0.32,0.34,0.34,0.33,0.33,0.32,0.31,0.32
ALLSKY_SRF_ALB,2011,0.32,0.33,0.32,0.33,0.33,0.34,0.33,0.33,0.32,0.33,0.3,0.32,0.33
ALLSKY_SRF_ALB,2012,0.34,0.34,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.3,0.34,0.33
ALLSKY_SRF_ALB,2013,0.33,0.34,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.3,0.34
ALLSKY_SRF_ALB,2014,0.33,0.34,0.34,0.36,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.34
ALLSKY_SRF_ALB,2015,0.34,0.34,0.36,0.35,0.34,0.35,0.36,0.34,0.34,0.34,0.33,0.32,0.34
ALLSKY_SRF_ALB,2016,0.34,0.34,0.35,0.34,0.34,0.35,0.35,0.34,0.34,0.34,0.32,0.3,0.34
ALLSKY_SRF_ALB,2017,0.34,0.33,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.35,0.34,0.34,0.34
ALLSKY_SRF_ALB,2018,0.34,0.34,0.35,0.35,0.34,0.36,0.34,0.35,0.35,0.34,0.33,0.34,0.34
ALLSKY_SRF_ALB,2019,0.34,0.36,0.35,0.36,0.35,0.35,0.35,0.35,0.34,0.35,0.34,0.33,0.34
ALLSKY_SRF_ALB,2020,0.34,0.35,0.35,0.35,0.35,0.36,0.35,0.36,0.34,0.36,0.33,0.34,0.35
ALLSKY_SRF_ALB,2021,0.35,0.35,0.34,0.36,0.35,0.34,0.35,0.34,0.34,0.36,0.34,0.35,0.35
ALLSKY_SRF_ALB,2022,0.37,0.36,0.34,0.37,0.36,0.37,0.36,0.38,0.35,0.34,0.36,0.34,0.36
PRECTOTCORR_SUM,1981,10.55,10.55,10.55,10.55,0,21.09,10.55,15.82,15.82,5.27,0,5.27,116.02
PRECTOTCORR_SUM,1982,21.09,31.64,10.55,84.38,10.55,0,0,0,0,42.19,47.46,0,247.85
PRECTOTCORR_SUM,1983,0,5.27,0,0,5.27,10.55,0,5.27,0,0,0,5.27,31.64
PRECTOTCORR_SUM,1984,0,10.55,5.27,5.27,0,5.27,0,10.55,0,15.82,15.82,5.27,73.83
PRECTOTCORR_SUM,1985,10.55,5.27,26.37,0,31.64,0,0,0,5.27,5.27,26.37,5.27,116.02
PRECTOTCORR_SUM,1986,5.27,5.27,63.28,10.55,10.55,0,5.27,0,10.55,26.37,15.82,5.27,158.2
PRECTOTCORR_SUM,1987,15.82,21.09,0,5.27,5.27,0,0,0,0,10.55,0,15.82,73.83
PRECTOTCORR_SUM,1988,0,0,5.27,5.27,10.55,10.55,0,0,5.27,10.55,31.64,0,79.1
PRECTOTCORR_SUM,1989,0,5.27,0,5.27,5.27,21.09,0,0,10.55,0,5.27,5.27,58.01
PRECTOTCORR_SUM,1990,52.73,0,5.27,26.37,73.83,5.27,0,21.09,5.27,5.27,15.82,52.73,263.67
PRECTOTCORR_SUM,1991,5.27,10.55,26.37,10.55,15.82,5.27,0,5.27,15.82,52.73,10.55,5.27,163.48
